round	allocs	total_bytes	alloc_start_time	alloc_end_time
0	1024	68199316016	1682391273.960287017	1682391280.663939019
1	1024	67141323392	1682391281.005113519	1682391282.677957083
2	1024	67948837304	1682391284.060702853	1682391286.461159066
3	1024	68353497624	1682391286.669250745	1682391289.362357993
4	1024	68558046736	1682391290.066320530	1682391292.518553212
5	1024	71505763128	1682391293.153309545	1682391295.855578084
6	1024	69461723336	1682391296.831580662	1682391300.734303758
7	1024	70184837784	1682391300.981178418	1682391304.078120196
8	1024	70000104672	1682391304.337611508	1682391306.824923262
9	1024	68698012984	1682391308.082680728	1682391312.247210568
10	1024	71853908736	1682391312.925076399	1682391315.851153122
11	1024	70704170696	1682391316.356909394	1682391319.817853391
12	1024	68814020072	1682391320.738157674	1682391324.608710226
13	1024	70010566352	1682391325.944387027	1682391331.664712487
14	1024	70450557376	1682391332.355714737	1682391336.540661881
15	1024	70905818288	1682391337.291535180	1682391340.675151681
