round	allocs	total_bytes	alloc_start_time	alloc_end_time
0	1024	69316621400	1682391408.227300273	1682391417.889212377
1	1024	69039491192	1682391418.097385828	1682391421.190308608
2	1024	72710520848	1682391421.687230393	1682391424.437479966
3	1024	68638527480	1682391425.816806506	1682391428.945775463
4	1024	70913041480	1682391429.351937874	1682391431.977904857
5	1024	68766352368	1682391432.442569288	1682391436.376899459
6	1024	68555323552	1682391436.874460784	1682391439.554312224
7	1024	69753702024	1682391439.963182161	1682391443.931224282
8	1024	68557275040	1682391444.179153704	1682391447.953738533
9	1024	69629376672	1682391448.879183584	1682391450.755623863
10	1024	70844799320	1682391451.907437685	1682391455.145187606
11	1024	70492606680	1682391455.363755172	1682391461.340113555
12	1024	70485816352	1682391461.519813362	1682391465.591978212
13	1024	69528320240	1682391466.601208775	1682391470.248324256
14	1024	70268169008	1682391471.154202316	1682391474.630622139
15	1024	68527503344	1682391474.880055442	1682391478.249502087
