round	allocs	total_bytes	alloc_start_time	alloc_end_time
0	1024	70004880432	1682391207.540309234	1682391215.296795594
1	1024	69876790984	1682391215.702688938	1682391219.794022899
2	1024	68476675264	1682391220.960646149	1682391223.030976785
3	1024	71327659824	1682391223.708764341	1682391228.581498280
4	1024	68520286432	1682391229.644659005	1682391232.743388161
5	1024	70141731936	1682391233.210511128	1682391235.832809260
6	1024	69179437000	1682391236.606961855	1682391238.211498699
7	1024	69261058784	1682391238.780462209	1682391242.262767299
8	1024	70554936760	1682391242.937124934	1682391246.097594425
9	1024	70041301664	1682391246.777364630	1682391250.120610995
10	1024	71049100424	1682391250.591864344	1682391253.818924760
11	1024	70315324248	1682391254.499902762	1682391257.312140101
12	1024	69944340152	1682391258.024050753	1682391261.509518093
13	1024	69853229864	1682391261.765915654	1682391265.172412267
14	1024	71531967216	1682391265.656623952	1682391269.514827705
15	1024	69935776760	1682391270.428208637	1682391273.586565159
