round	allocs	total_bytes	alloc_start_time	alloc_end_time
0	1024	70426537304	1682390862.274480975	1682390863.072974611
1	1024	67080747128	1682390865.014669463	1682390866.466169173
2	1024	68672557016	1682390867.416387288	1682390868.518875046
3	1024	69522758128	1682390868.543897086	1682390868.574266104
4	1024	71002715288	1682390868.599256829	1682390868.629681021
5	1024	68596401992	1682390868.654601609	1682390868.684999668
6	1024	68530951504	1682390868.709449740	1682390868.739850199
7	1024	72751390904	1682390869.714742804	1682390870.949289864
8	1024	70603834544	1682390871.873691106	1682390873.782994801
9	1024	68329307408	1682390874.728182606	1682390875.916348955
10	1024	71644021232	1682390877.289485897	1682390878.057112322
11	1024	65736974768	1682390878.886232328	1682390879.933992496
12	1024	69233246176	1682390880.606811335	1682390881.660208678
13	1024	68302657304	1682390882.367859315	1682390883.637448157
14	1024	70515443448	1682390884.817691325	1682390886.383098899
15	1024	71918487232	1682390887.982513292	1682390889.262834510
