round	allocs	total_bytes	alloc_start_time	alloc_end_time
0	1024	69629541064	1682390889.860594822	1682390890.370174073
1	1024	68751372320	1682390891.583835632	1682390892.317622569
2	1024	68264570952	1682390892.850751579	1682390893.726232319
3	1024	69421325920	1682390894.329607721	1682390895.034569071
4	1024	70722504200	1682390895.600858003	1682390896.458094230
5	1024	69566029264	1682390897.305815116	1682390897.874716236
6	1024	67934323832	1682390899.243756800	1682390899.703145064
7	1024	71690081008	1682390900.299932062	1682390900.795087226
8	1024	69190259840	1682390901.291588706	1682390902.552475753
9	1024	68753610240	1682390902.962719413	1682390903.434886869
10	1024	71322629552	1682390903.858135098	1682390905.045376351
11	1024	69514753120	1682390905.927454445	1682390906.421363561
12	1024	69018921112	1682390906.822963292	1682390907.287094575
13	1024	69953883360	1682390908.180922424	1682390908.679767807
14	1024	70656425424	1682390909.556683766	1682390910.574571095
15	1024	69920273200	1682390911.252774022	1682390912.352572422
