round	allocs	total_bytes	alloc_start_time	alloc_end_time
0	1024	69391939184	1682391159.153039669	1682391159.194038074
1	1024	68879619768	1682391160.892323999	1682391160.894836117
2	1024	69848542792	1682391161.990198343	1682391161.992743117
3	1024	68695032816	1682391164.004005142	1682391164.006537610
4	1024	70808095712	1682391165.479607819	1682391165.481836502
5	1024	68396415752	1682391166.987503325	1682391166.989397528
6	1024	70091044352	1682391168.767115012	1682391168.769502531
7	1024	67939929560	1682391170.566116025	1682391170.568454280
8	1024	66795182000	1682391171.931723242	1682391171.934160985
9	1024	70352629056	1682391173.475506545	1682391173.477202992
10	1024	70984254936	1682391175.250980886	1682391175.253299285
11	1024	70538516336	1682391176.009144783	1682391176.011197994
12	1024	68902170392	1682391177.554479467	1682391177.556010760
13	1024	69033017080	1682391179.169065883	1682391179.170968099
14	1024	69649818688	1682391180.298364811	1682391180.300043244
15	1024	67176562736	1682391181.666403841	1682391181.668213044
