round	allocs	total_bytes	alloc_start_time	alloc_end_time
0	1024	70421503120	1682391137.703145378	1682391137.756279172
1	1024	68654799936	1682391138.724583616	1682391138.728020988
2	1024	69254650776	1682391140.948675309	1682391140.951017269
3	1024	70290349304	1682391141.629903537	1682391141.631992712
4	1024	72043176376	1682391142.857398793	1682391142.859795345
5	1024	71276219024	1682391144.567073374	1682391144.569075861
6	1024	69216859040	1682391146.051798599	1682391146.053688031
7	1024	70236809888	1682391147.717554688	1682391147.719509510
8	1024	70061031312	1682391148.775516961	1682391148.777208480
9	1024	68263043592	1682391149.705006827	1682391149.707340216
10	1024	67937222296	1682391151.306606457	1682391151.308300079
11	1024	68615768152	1682391152.428402702	1682391152.430292316
12	1024	71275531208	1682391153.131835166	1682391153.133442043
13	1024	68699465840	1682391154.446014721	1682391154.448182725
14	1024	71662957232	1682391156.608468726	1682391156.616180748
15	1024	69604625608	1682391157.999684913	1682391158.004515290
