round	allocs	total_bytes	alloc_start_time	alloc_end_time
0	1024	71108650224	1682391123.114492147	1682391123.158588569
1	1024	70720563640	1682391124.133693858	1682391124.136050160
2	1024	69437886016	1682391126.954507661	1682391126.956658862
3	1024	70621559296	1682391127.652048747	1682391127.654047090
4	1024	68698713376	1682391128.288829007	1682391128.290996925
5	1024	70813621856	1682391129.237338609	1682391129.239601930
6	1024	69955564544	1682391131.107663810	1682391131.109854954
7	1024	70735211688	1682391133.562583842	1682391133.564384249
8	1024	68201882128	1682391134.262653240	1682391134.264637040
9	1024	70044993832	1682391135.172485608	1682391135.174178387
10	1024	67730087864	1682391136.306138137	1682391136.308327141
11	1024	71163772368	1682391137.236599062	1682391137.238304841
12	1024	68793483736	1682391137.476765398	1682391137.478314108
13	1024	68641024544	1682391137.504184030	1682391137.505621106
14	1024	67599639264	1682391137.531608349	1682391137.533008959
15	1024	69289243560	1682391137.558990507	1682391137.560344747
